Symbol,Full Name,GICS Sector,governanceScore,Stock_return,marketCap,environmentScore
LDOS,Leidos,Industrials,-0.6700830267315999,0.36577748559193235,-0.2844902163844541,-0.47416631549745364
LEN,Lennar,Consumer Discretionary,-0.531541602085816,1.1929300171528228,-0.18793646614826037,1.075395059376015
LH,LabCorp,Health Care,-0.04664661582557218,-0.32435321031788383,-0.2902555688216257,-1.0515694133590505
LKQ,LKQ Corporation,Consumer Discretionary,-1.5844564293937742,-0.951880807136618,-0.31695060024081556,-0.38971620254490724
LLY,Lilly (Eli),Health Care,1.1263374461753992,2.3494513967382313,2.2699323756935685,-0.6371746730570201
LMT,Lockheed Martin,Industrials,0.1888738060722609,-0.2101311223629387,0.08723851377295008,0.42728954136810043
LNT,Alliant Energy,Utilities,-0.19442413544774148,-0.4540579797545466,-0.30162777249590933,0.5411989960482793
LOW,Lowe's,Consumer Discretionary,-1.630636904275702,-0.10560620676362435,0.11639697078424599,-0.4859500521885067
LRCX,Lam Research,Information Technology,-0.7208815491017209,1.1970818967182943,-0.03185629880307959,-0.2522392744826223
LULU,Lululemon Athletica,Consumer Discretionary,-0.55463183952678,-0.8982557860073925,-0.2468447157466399,-0.8257144601138681
LUV,Southwest Airlines,Industrials,-0.3468197025581039,-0.7476802429315372,-0.2965543227526603,1.032188024842154
LVS,Las Vegas Sands,Consumer Discretionary,0.9092892142303374,-0.9195367267091085,-0.2535411521132913,-0.6843096198212322
LYB,LyondellBasell,Materials,-0.7439717865426848,-0.2359357721917195,-0.25228202508074327,1.515321229175327
